Tweet,labels
barusan liat tulis belakang truk rela injek kopling kamu shopping,0
her lho miss kevin sama keven rebut gimbot wis aku beli 2 ae nunjuk the twins yg asik main ipad masin,0
iya rep gatau aku kelas 4 sd ehh block,0
aku mohon tepat janji penantiancintaeps19,0
bukan ria nk kahwin sbb gatal celah kangkang tp penat bila balik kg org anggap aku ni bujang takde kerja and ser,0
aku ingat habanero paling pedas rupa 10 kali ganda yg pedas gila,0
aku tengok drama cinta bukan kristalatu conversation anak bapak bapak iyeee sekarang semua perempuan n,0
yg aku butuh interaksi 95l 99l yuk yg line segitu kuy mutualan ku follow auto followback rt aja,0
kau dah tak streak aku,0
yg lama nunggun video aku nih retweet yg mau full,0
tak kisah bf ade kawan perempuan aku ade kawan laki kalau over nak ngadu nak cite ini send ga,0
high,0
malam undang opening hungerbelt spazio teman aku laaaahhh siiisssss,0
aku tambah ia,0
benar ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah sewa,0
lecturer aku suruh tampal note kat tempat aku selalu tengok tak aku nak tampal kat muka crush pulak,0
20thn aku ken nikah umur 23 sm orang gin gin gin 23thn blm yg nglamar 24thn si,0
dengar bual budak sekolah aku nk amik a level aku nk amik asasi asasi ok matrik kan aa,0
cara outin diri sendiri gimana sih bisa outin aku aku bayar deh g,0
mana gampaang aku nanya dulu tauu,0
makan tido makan tido hari ni aku reput je la kat rumah hadap orang ni haih,0
threado as promised aku nk citer alam aku ambik teh kurus pil kurus it was 2013 2014 mcm tuince everyone was s,0
makanya tadi aku kaget lihat teman kabar nya udah meni hati kamu kapan taaruf kok ga cium kabar,0
aku dong mbak link kalo jepang main,0
hyung kamu kanibal kan,0
jajanin aku kak,0
tiga aku satu aja gapunya,0
hi semua aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow retwee,0
aku rumah aja anagram besok malam minggu,0
jumat malam sama 2 kawan dalam mobil tuju sebwah apartemen diurabaya barat b gaes sorry aku a k,0
aku nang kampus ngopi ketemu wong2 podo kabeh takok e lapo ubah sosyeti a,0
kamu kan,0
x de adab betul budak ni pinjam buku aku,0
popular weh sorry aku blur x paham mksd hg,0
broimak video ribka tjiptaning tulis buku aku bangga jadi anak pki tuju pki tetap yang d,0
mau mandi diceramahin dulu sama nyonya besar inti sama tobat kamu abis iniiap komandan,0
jual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb,0
kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat aku ni anak jawa,0
aku kepo 11 13 20,0
arti aku bener dong jawab cowok dapet 2jt nih,0
tls followan ama aku yukk rep rt temenan,0
antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila cakap content ive never thought y komuniti ki,0
lepas tengok movie onetwojaga ingat pulak time intern dulu kerja contractor quantityurvey juruuk,0
tahan sayang juga paksa kamu kapel kamu yang mana,0
so aku pergi klinik muntah tengok carta organisasi buat aku nak gelak apa ni wei,0
allah ken ngakak goler2 aku sama trit iniiii,0
pastu kan perangai still babi nampak sangat taknak aku kahwin biasa biasa,0
siang happy friday sholat jum at nya jangan lupa aku habis giat terus ada latih bareng team j s,0
kawan aku tips dietebab masa cuti just makan nie utk diet and bila naik sem hari tu dah kurus giler ka,0
aku tadi nge rt wah wah wah,0
benar takde ciri bila dah sayang someone tu gelap kita suka putih kita suka tak hensem pu,0
ayat tipu paling besar 1 jap tengah siap 2 otw 3 tak study 4 takda kredit lah 5 pakai duit ka,0
izin aku mengupload,0
kamu jangan lupa sholat dzuhurnya,0
life skang aku simplekan je aku tak suka aku tak layan je penat nk jaga hati org je pikir diri sendiri dlu,0
tiap salam buat suami aku exo korea paaak,0
masalah pinjam lighter bang pinjam lighter jap light kena diri jap dup satu pam kene hembus dlu nak ucap,0
tidur tak buka kipas or aircond bcs takut the kitten sejuk bangun approximately every 2 hours just dia nang l,0
7 00 p m pagi apa malam pagiudah pernah coba trik pancing pancing kayak gitu b,0
mamak ni nak try aku apa,0
